Date,Ter_N,Sp_N,Sp,Time,T_lizard,T_sub,T_air,Delta_Time,Time_initial,N_group,N_total,Sub_type,N_ser,Group,Season
NA,E,2510+200,D.armeniaca,NA,19.2,19.6,18.3,NA,NA,1,1,rock,NA,F,autumn
NA,E,2510+200,D.armeniaca,NA,19.2,19.6,16.5,NA,NA,1,1,rock,NA,F,autumn
22.10.21?,D,4023.0,D.armeniaca,1899-12-31 16:58:00,19,20.9,18.1,86,1899-12-31 15:32:00,1,1,rock,NA,F,autumn
NA,E,2510+200,D.armeniaca,1899-12-31 17:15:00,16.9,18.8,17.8,103,1899-12-31 15:32:00,1,1,rock,NA,F,autumn
44504.0,E,133+50,D.armeniaca,1899-12-31 13:41:00,22.3,24.6,20.9,15,1899-12-31 13:26:00,1,4,rock,NA,F,autumn
NA,E,133+50,D.armeniaca,1899-12-31 15:45:00,31.5,38,23.5,8,1899-12-31 15:37:00,2,4,rock,NA,T,autumn
NA,E,4023.0,D.armeniaca,1899-12-31 15:45:00,32,32.5,23.7,8,1899-12-31 15:37:00,2,4,rock,NA,T,autumn
NA,E,133+50,D.armeniaca,1899-12-31 15:59:00,27.2,29.5,24,22,1899-12-31 15:37:00,2,4,rock,NA,T,autumn
NA,E,4023.0,D.armeniaca,1899-12-31 15:59:00,25.3,30.9,24.8,22,1899-12-31 15:37:00,2,4,rock,NA,T,autumn
44505.0,A,133+50,D.armeniaca,1899-12-31 13:07:00,30.9,32.9,24.5,4,1899-12-31 13:03:00,1,4,rock,NA,F,autumn
NA,A,133+50,D.armeniaca,1899-12-31 13:09:00,28.7,31,21.9,6,1899-12-31 13:03:00,1,4,rock,NA,F,autumn
NA,A,133+50,D.armeniaca,1899-12-31 13:16:00,23.4,27.1,20.1,13,1899-12-31 13:03:00,1,4,rock,NA,F,autumn
NA,A,133+50,D.armeniaca,1899-12-31 13:53:00,20,21.3,19.5,50,1899-12-31 13:03:00,1,4,rock,NA,F,autumn
44506.0,A,132.0,D.armeniaca,1899-12-31 14:26:00,27.8,29.5,19.6,4,1899-12-31 14:22:00,1,7,rock,NA,F,autumn
NA,A,132.0,D.armeniaca,1899-12-31 14:32:00,24.8,25.9,18.1,10,1899-12-31 14:22:00,1,7,rock,NA,F,autumn
NA,A,424.0,D.armeniaca,1899-12-31 14:55:00,18.3,19.8,18.1,33,1899-12-31 14:22:00,1,7,rock,NA,F,autumn
NA,A,133+50,D.armeniaca,1899-12-31 14:22:00,17.3,19.2,16.9,0,1899-12-31 14:22:00,1,7,rock,NA,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 11:59:00,26.5,23.7,18.4,6,1899-12-31 11:53:00,1,7,rock,NA,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:03:00,21.8,16.4,16.7,10,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:03:00,20.9,16.4,16.7,10,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:05:00,20.7,16.5,16.4,12,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:05:00,20.2,16.5,16.4,12,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,133+50,D.armeniaca,1899-12-31 12:06:00,17.6,15.2,16.2,13,1899-12-31 11:53:00,1,7,gravel,i,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:08:00,19.1,16.7,16.2,15,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:08:00,18.8,16.7,16.2,15,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,133+50,D.armeniaca,1899-12-31 12:10:00,16.1,14.6,16.8,17,1899-12-31 11:53:00,1,7,gravel,i,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:11:00,18,16.3,16.3,18,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:11:00,17.8,16.3,16.3,18,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:14:00,17.7,16.5,16.3,21,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:14:00,17.7,16.5,16.3,21,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,133+50,D.armeniaca,1899-12-31 12:15:00,15.8,15.1,16.3,22,1899-12-31 11:53:00,1,7,gravel,i,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:17:00,17.1,16.4,16.2,24,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,534.0,D.armeniaca,1899-12-31 12:17:00,17.1,16.4,16.2,24,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
NA,A,133+50,D.armeniaca,1899-12-31 12:18:00,15.8,15.2,16.3,25,1899-12-31 11:53:00,1,7,gravel,i,F,autumn
NA,A,1525+300+400,D.armeniaca,1899-12-31 12:19:00,16.6,15.7,16.3,26,1899-12-31 11:53:00,3,7,gravel,i,T,autumn
