n,date,time,temp,hum,dewp
1,23.11.2020,13:49:01,18,46.6,6.4
2,23.11.2020,14:49:01,18.1,46.2,6.3
3,23.11.2020,15:49:01,15.3,50.2,5
4,23.11.2020,16:49:01,14.1,52.6,4.5
5,23.11.2020,17:49:01,13.5,52.4,3.9
6,23.11.2020,18:49:01,13.1,53.2,3.8
7,23.11.2020,19:49:01,12.9,54,3.8
8,23.11.2020,20:49:01,12.7,52.9,3.3
9,23.11.2020,21:49:01,12.6,53.3,3.3
10,23.11.2020,22:49:01,12.5,52.8,3.1
11,23.11.2020,23:49:01,12.4,53.7,3.2
12,24.11.2020,0:49:01,12.4,54.2,3.4
13,24.11.2020,1:49:01,12.4,54.7,3.5
14,24.11.2020,2:49:01,12.4,54.3,3.4
15,24.11.2020,3:49:01,12.4,54.5,3.4
16,24.11.2020,4:49:01,12.4,54.4,3.4
17,24.11.2020,5:49:01,12.3,54,3.2
18,24.11.2020,6:49:01,12.3,54.8,3.4
19,24.11.2020,7:49:01,12.2,54.5,3.3
20,24.11.2020,8:49:01,12.3,54.7,3.4
21,24.11.2020,9:49:01,12.3,55.7,3.7
22,24.11.2020,10:49:01,16.1,47.5,4.9
23,24.11.2020,11:49:01,17.4,49.1,6.6
24,24.11.2020,12:49:01,18.2,45.5,6.2
25,24.11.2020,13:49:01,18.6,43.4,5.9
26,24.11.2020,14:49:01,18.8,42.5,5.8
27,24.11.2020,15:49:01,16.1,47.5,4.9
28,24.11.2020,16:49:01,14.7,51,4.6
29,24.11.2020,17:49:01,14,52.6,4.4
30,24.11.2020,18:49:01,13.6,53.4,4.3
31,24.11.2020,19:49:01,13.2,52.7,3.7
32,24.11.2020,20:49:01,13,52.1,3.4
33,24.11.2020,21:49:01,12.8,52.1,3.2
34,24.11.2020,22:49:01,12.6,52.4,3.1
35,24.11.2020,23:49:01,12.5,53.2,3.2
36,25.11.2020,0:49:01,12.4,53.2,3.1
37,25.11.2020,1:49:01,12.4,53.4,3.2
38,25.11.2020,2:49:01,12.4,52.5,2.9
39,25.11.2020,3:49:01,12.3,53.1,3
40,25.11.2020,4:49:01,12.2,52.7,2.8
41,25.11.2020,5:49:01,12.1,53.3,2.9
42,25.11.2020,6:49:01,12.1,53.9,3
43,25.11.2020,7:49:01,12,54.1,3
44,25.11.2020,8:49:01,12,54.6,3.1
45,25.11.2020,9:49:01,12,54.6,3.1
46,25.11.2020,10:49:01,15.8,47.1,4.5
47,25.11.2020,11:49:01,16.3,63.9,9.4
48,25.11.2020,12:49:01,17.3,52.4,7.4
49,25.11.2020,13:49:01,17.9,48,6.7
50,25.11.2020,14:49:01,18.2,45.6,6.2
51,25.11.2020,15:49:01,15.4,48.5,4.6
52,25.11.2020,16:49:01,14,52.9,4.5
53,25.11.2020,17:49:01,13.3,54.8,4.4
54,25.11.2020,18:49:01,13,56.4,4.5
55,25.11.2020,19:49:01,12.8,58.1,4.7
56,25.11.2020,20:49:01,12.6,56.8,4.2
57,25.11.2020,21:49:01,12.4,56.5,4
58,25.11.2020,22:49:01,12.3,56.8,3.9
59,25.11.2020,23:49:01,12.2,56.3,3.7
60,26.11.2020,0:49:01,12.1,56.1,3.6
61,26.11.2020,1:49:01,12.1,54.6,3.2
62,26.11.2020,2:49:01,12,54.8,3.1
63,26.11.2020,3:49:01,12,54.3,3
64,26.11.2020,4:49:01,11.8,52.5,2.4
65,26.11.2020,5:49:01,11.7,52,2.1
66,26.11.2020,6:49:01,11.6,50.4,1.6
67,26.11.2020,7:49:01,11.5,50.6,1.6
68,26.11.2020,8:49:01,11.4,49.6,1.2
69,26.11.2020,9:49:01,11.5,47.1,0.6
70,26.11.2020,10:49:01,15,42.6,2.4
71,26.11.2020,11:49:01,15.6,43.8,3.3
72,26.11.2020,12:49:01,17,39.7,3.2
73,26.11.2020,13:49:01,17.7,39.1,3.6
74,26.11.2020,14:49:01,18,39.7,4.1
75,26.11.2020,15:49:01,15.3,43.7,3
76,26.11.2020,16:49:01,13.9,48,3
77,26.11.2020,17:49:01,13.3,50.6,3.2
78,26.11.2020,18:49:01,12.9,50.1,2.7
79,26.11.2020,19:49:01,12.7,51.1,2.8
80,26.11.2020,20:49:01,12.6,51.7,2.9
81,26.11.2020,21:49:01,12.5,52.2,2.9
82,26.11.2020,22:49:01,12.5,53.1,3.2
83,26.11.2020,23:49:01,12.5,53.4,3.2
84,27.11.2020,0:49:01,12.5,53.2,3.2
85,27.11.2020,1:49:01,12.6,53.5,3.4
86,27.11.2020,2:49:01,12.6,53.4,3.3
87,27.11.2020,3:49:01,12.6,53.6,3.4
88,27.11.2020,4:49:01,12.6,52.9,3.2
89,27.11.2020,5:49:01,12.5,52.9,3.1
90,27.11.2020,6:49:01,12.5,52.8,3.1
91,27.11.2020,7:49:01,12.5,51.8,2.8
92,27.11.2020,8:49:01,12.4,52.1,2.8
93,27.11.2020,9:49:01,12.4,51.9,2.8
94,27.11.2020,10:49:01,15.8,45.1,3.9
95,27.11.2020,11:49:01,17.6,42.7,4.7
96,27.11.2020,12:49:01,18.4,41.2,4.9
97,27.11.2020,13:49:01,18.6,40.6,4.9
98,27.11.2020,14:49:01,18.9,40.1,5
99,27.11.2020,15:49:01,16.3,45,4.3
100,27.11.2020,16:49:01,14.8,48.4,4
101,27.11.2020,17:49:01,14.1,49.1,3.5
102,27.11.2020,18:49:01,13.6,49.4,3.2
103,27.11.2020,19:49:01,13.4,49.8,3.1
104,27.11.2020,20:49:01,13.1,49.5,2.7
105,27.11.2020,21:49:01,12.9,49.6,2.6
106,27.11.2020,22:49:01,12.8,50.2,2.7
107,27.11.2020,23:49:01,12.7,50.2,2.6
108,28.11.2020,0:49:01,12.6,50.4,2.5
109,28.11.2020,1:49:01,12.7,50.4,2.6
110,28.11.2020,2:49:01,12.6,50.2,2.5
111,28.11.2020,3:49:01,12.6,50.5,2.6
112,28.11.2020,4:49:01,12.5,50.8,2.5
113,28.11.2020,5:49:01,12.5,51.3,2.7
114,28.11.2020,6:49:01,12.4,51.5,2.6
115,28.11.2020,7:49:01,12.4,51.6,2.7
116,28.11.2020,8:49:01,12.4,52.1,2.8
117,28.11.2020,9:49:01,12.4,52.1,2.8
